,Address,Price SAR,Size m²,Details,District
597,  شارع ابي محجن الثـقفي حي النسيم الشرقي  ,6000,22,"محل ايجار حلاق سابقا 

ب6000 السنه كل ستة اشهر3000
للمعاينه المفاتيح مع المغسله الي بجوار المحل

نعتذر لعدم الرد في بعض الاوقات وذالك نظرا لضغط الاتصالات 
في حال عدم الرد يرجى ارسال رساله واتس اب بالطلب 
تمنياتي للجميع بالتوفيق",حي النسيم الشرقي - الرياض
599,  شارع خالد بن الوليد حي القدس  ,130000,120,"محل جاهز على شارع خالد بالوليد بجوار 
باجة وحلويات القباني ومطعم تكساس 


للايجار السنوي ب 130 الف",حي القدس - الرياض
602,  شارع الأمير سلطان بن سلمان بن عبدالعزيز حي الورود  ,40000,70,مناسب لمشروع مطعم,حي الورود - الرياض
603,  شارع حنين حي سلطانة  ,10000,200,للايجار محلات فى حي سلطانه اربع فتحات يمكن ايجار فتحه لحالها,حي سلطانة - الرياض
604,  شارع قس بن ساعدة حي الملك فيصل  ,16000,750,"٥ محلات للايجار بشارع قس بن ساعده حي الملك فيصل 
المحلات تقع علي شارعين شارع ٤٠ م وشارع ١٠م 
مساحة المحلات الفتحه الواحده تقريبا ٤.٥ ×٩ م
تصلح المحلات لجميع النشاطات 
يوجد تيسير في السداد والمساعده في السعر للصامل .",حي الملك فيصل - الرياض
605,  شارع علي بن شيبان حي ظهرة نمار  ,30000,80,"يوحد لدينا للإيجارفتحه ميزانين معرض في شارع علي بن شيبان المحلات الملاصقه لها مؤجره مستلازمات نسائيه ورجاليه احذيه شنط ملابس
الموقع مميز وله عدة نشاطات مربحه بإذن الله تعالى
للتواصل أبوفارس 0247539656",حي ظهرة نمار - الرياض
606,    حي المهدية  ,100000,70,"للايجار بقاله في محطه 
محطة راكين المهدية للوقود 
حي المهدية 
شارع السيل الكبير 
موقع مميز 
مساحة البقاله 70م 
الايجار 100 ألف ريال",حي المهدية - الرياض
609,  شارع الأمير سلطان بن سلمان بن عبدالعزيز حي الورود  ,40000,70,محلين للايجار,حي الورود - الرياض
610,  شارع الجادعي حي طويق  ,16000,50,محل جديد للايجار في طويق شارع الوليد بن عبدالملك جاهز مياه ودفاع مدني شارع ٣٦ متر واجهة شرقية ب ١٦الف,حي طويق - الرياض
612,  حي طويق  ,17000,120,"محلين للإيجار بجوار مطعم وتموينات 

للتواصل والاستفسار / 
0556028511
0542808822 
0555215547

في حاله عدم الرد الرجاء التواصل واتس اب 
ويسرنا استقبال عروضكم العقاريه والاعلان عنها",حي طويق - الرياض
614,"  شارع عبدالرحمن الناصر, الملك فيصل,  ",70000,120,"يوجد محلات 
عدد ٤ وشقه ارضيه 
 للاستخدام التجاري",حي الملك فيصل - الرياض
616,  شارع جرير حي الملز  ,40000,75,محل تجاري للإيجاريقع في شارع جرير بالملز,حي الملز - الرياض
619,  حي الياسمين  ,228750,305,"صالات تجارية ومكاتب إدارية  كود رقم 304
للتواصل مع فريق التسويق
0544450133
0544450127
المواصفات العامة للمشروع
حي الياسمين صالات تجارية ومكاتب للايجار
أكثر من 65 موقف المساحات التاجيرية كبيرة
دور أرضي *ميزانين *دورين 
مصاعد حديثة نظام إطفاء واجهات كل...",حي النرجس - الرياض
625,  طريق الملك عبدالعزيز حي العارض  ,1000,10,,حي العارض - الرياض
626,  شارع الإمام أحمد بن حنبل حي الريان  ,90000,100,"ثلاث فتحات


للتواصل عبدالعزيز

 0557787531",حي الروابي - الرياض
627,  شارع محمد بن عبدالعزيز الدغيثر حي الملقا  ,55000,60,"للايجار معرض بحي الملقا

مساحة المعرض / 60 م

المطلوب / 55 الف 

في حال عدم الرد يرجى التواصل عالواتساب ،،،،",حي الملقا - الرياض
628,  طريق الدمام الفرعي حي اليرموك  ,203000,203,"يوجد معارض بمساحات مختلفه 
المعرض الاول مساحته ٢٠٣م
المعرض الثاني مساحته ١٢٩م
المعرض الثالث مساحته ٩٦م
السعر المتر التاجيري ب ١٠٠٠ريال للمتر 
وكل المحلات بنفس العقار",حي اليرموك - الرياض
629,  حي النرجس  ,28000,77,"فرصه لشركات والمؤسسات وأصحاب المكاتب الأخرى

للإيجار مكتب في مجمع تجاري موقع مميز في مجمع تجاري

جميع الخدمات متوفره من حكوميه وأهليه لاتفوتك الفرصه

المجمع بحتوي علي مكلتب شركات ومؤسسات ومحلات 

تجاريه مثل بنده بيتزاهت دانكن وغيرها 

لاتفوتك الفرصه
...",حي النرجس - الرياض
635,  شارع الشيخ عبدالرحمن بن عبدالله بن محمد حي الزهرة  ,5000,25,"محلات للايجار 👇
٤ فتحات كل فتحه مستقله عن الاخري 
يمكن تأجير كل فتحه لوحدها ب٥ الاف في السنه 

وفي حالة استأجر المحلات كامله السعر قابل للتفاوض 

تصلح مكاتب مؤسسات ومستودعات 
ويوجد بيها دورات مياه .. 
قريبه من شارع بديع الزمان تتطلع علي الدائري 


ل...",حي الزهرة - الرياض
637,  شارع فهد بن محماس حي الفيصلية  ,250000,1000,"الورشة مجهزة بالكامل من رافعات و فرن دهان وكهربا 
ودفاع مدني 
للتواصل 0537205555",حي الفيصلية - الرياض
638,  شارع الأمير عبد الله بن عبد الرحمن بن فيصل حي عتيقة  ,29800,170,"محل للايجار موقع ممتاز ويوجد كثافة سكاني في الحي 
والموقع الحل على شارع ممتاز 

مساحة المحل 170م",حي عتيقة - الرياض
644,  طريق الملك عبدالله حي الملك فيصل  ,350000,750,"♦️ فضلا في حالة عدم الرد امل التواصل بالواتس

♦️6 معارض للايجار مفتوحة على بعض على مساحة 484  م 
♦️ تصلح نشاط سوبرماركت او صيدليه او مطاعم او اي أنشطة أخرى 
المنطقة ذات كثافة سكانية 

♦️ السعر قابل للتفاوض للجاد",حي الملك فيصل - الرياض
645,  حي الياسمين  ,389700,430,"للإيجار صالات ميزانين علي طريق العليا العام بحي الياسمين شمال انس بن مالك جنوب طريق الملك سلمان موقع ممتاز جدا بجوار مدارس عصر التربية العالمية 

مواصفات ::

مساحه التاجيرية  3248 م 

عدد 6 معارض ميزانين
المعارض مساحه الميزان التاني ١٤٣ متر 
 كل معار...",حي العارض - الرياض
646,  شارع الصحابة حي اشبيلية  ,70000,80,"ايجار فتحتين حي اشبيليه شارع الصحابه مساحه الفتحه الواحده ٤٠ متر 
باقي التفاصيل واتس....",حي اشبيلية - الرياض
647,  شارع ادريس بن العباس حي الملك فيصل  ,115000,250,صالات ومعارض تجارية للايجار بمواقع حية وأسعار مميزة بطريق الملك عبدالله وشارع التخصصي للحجز والاستفسار على الرقم :0537300066,حي الملك فيصل - الرياض
648,  شارع ابن الهيثم حي الخليج  ,20000,8,"ست فتحات للايجار على 20 الالف فالسنه 

للاتصال : 0536681115",حي الخليج - الرياض
649,  طريق الملك عبدالله الفرعي حي المغرزات  ,300000,306,"متوفر معارض تجارية للايجار 
ميزانين كبيرة
موقع مميز
على طريق الملك عبدالله
ملاصق لمحطة المترو ومجاور لمحطة الباصات 
نسعد بخدمتكم ..
الرجاء التواصل على الرقم
0532992200
0553006022",حي المغرزات - الرياض
652,  شارع حفصة بنت عمر حي الروضة  ,28000,28,,حي الروضة - الرياض
654,  شارع الشيخ حسن بن حسين بن علي حي الحمراء  ,260000,300,"مطعم للايجار

 أربع فتحات على شارع الحسن بن الحسين تقاطع مع طريق الامام محمد بن سعود 
بجوار كودو وبنده و بجوار محطة القطار مباشرة 

إيجار الفتحة الواحدة ب 65,000 ريال",حي الحمراء - الرياض
655,  شارع عبدالرحمن الداخل حي طويق  ,120000,500,"صالة جديدة للايجار 
ميزانين + مكتب بمدخل مستقل 
زاوية على شارعين (60م) +(15م)
الموقع: تقاطق طريق المدينة مع طريق عبدالرحمن الداخل.",حي طويق - الرياض
656,    حي القيروان  ,75000,750,للايجار معارض بحي القيروان مساحة اجمالية لمعارض ٧٥٠ الايجار بالكامل أو مجزء مناسبة للماركات والتسويق.,حي القيروان - الرياض
658,  شارع الأمير مساعد بن عبدالعزيز حي السليمانية  ,150000,200,"مجموعة محلات مفتوحة على بعض
تصلح لمطعم او سوبر ماركت موقع مميز ودخل استثماري لقربها من مستشفيات حكومية وكثافة سكانية يتطلبها
يتميز قربها من المستشفى العسكري مدينة الأمير سلطان الطبية 
قريبة من طريق الملك عبدالعزيز وطريق الأمير سلطان بن عبدالعزيز 30 ا...",حي السليمانية - الرياض
660,  شارع بلال بن رباح حي طويق  ,50000,100,"5 فتحات للإيجار 

الايجار بالكامل 50.000 ألف

التفريد للفتحة  13 ألف 



كما يسعدني استقبال عروضكم وطلباتكم
عادل 0530339395",حي طويق - الرياض
664,  شارع الطبري حي المربع  ,45000,20,"بقاله بجوار الجوازات تفتح على طريق الملك فهد

لتقبيل لتقبيل",حي المربع - الرياض
666,  شارع سميحة حي الوزارات  ,13000,25,"📌طريقة الدفع:
•سنوي 
•نصف سنوي 
•ربع سنوي 
•شهري 
(تختلف الاسعار حسب طريقة الدفع)

للاستفسار واتساب 
00699545441282


مكتب الثريا للعقارات 
نتشرف بخدمتكم",حي الوزارات - الرياض
667,  شارع الاعتدال حي القيروان  ,90000,125,"✅ للايجار معرض بطريق الملك سلمان .
🛑 الموقع :
حي القيروان ، طريق الملك سلمان . مع شارع الاعتدال (تجاري بعرض 30 م) .
🛑 المكونات :
- معرض ميزانين واوفيس ودورة مياه .
🛑 المساحة : 125 م٢
🛑 أبرز مميزات العمارة : 
- تقع على طريق الملك سلمان أحد أهم الش...",حي القيروان - الرياض
669,  شارع رقم 419 حي النرجس  ,750000,900,"سوم ايجار ٦٥٠ الف

العقار فيه ٦ محلات",حي النرجس - الرياض
671,  شارع عبدالله بن عباس حي الروابي  ,65000,128,"محلات للايجار في حي الروابي ش عبدالله بن عباس 
يوجد اربع محلات مفتوحه علي بعض 
3 دورات مياه ويوجد سكن تبع المحلات في نفس العمارة 
المساحة  {128 م }
مجدد ومجهزة بالكامل 
دفاع مدني 
كاميرات راكبة 
 ويوجد بها باب رول كهربائي  والباقي يدوي",حي الروابي - الرياض
672,  شارع سلمان الفارسي حي الخليج  ,14000,55,محل  على شارع سلمان الفارس  مناسب جدا الجميع نشاطات  تجاريه مناسب جدا ان يكون كوفي اواي نشاط اخر,حي الخليج - الرياض
673,  طريق الثمامة حي الربيع  ,800000,878,"٤ معارض شاغرة حي الصحافة طريق الثمامة 
مساحة كل معرض 219 م ومجموع المساحات 878
سعر كل معرض  ٢٠٠ الف ريال.
لتواصل (0509043551)",حي الصحافة - الرياض
675,  شارع وادي شعيت حي بدر  ,100000,900,"للايجار عدد 8 فتحات عرض 32 متر × عمق 30 متر
بيها مكيفات مركزيه عدد5 مكيفات يوجد مواقف خارجيه وسفليه بالبدروم  السعر لايشمل الضريبه",حي بدر - الرياض
679,  شارع فتح مكة حي بدر  ,60000,168,"عدد اتنين فتحات معارض مجهزه ميزانين مساحه الدور الارضي 168 متر مربع مساحه الميزانين 134 متر 
العرض  8 متر × عمق 21 متر 
الميزانين ٨٠%",حي بدر - الرياض
680,  شارع الناصرية حي النموذجية  ,20600,50,"٥ محلات للايجار  علي شارع الناصريه مباشرة
 مقابل الامن العام 
مساحة المحل تقريبا ٥٠ م 
الموقع متميز ويصلح لاي نشاط تجاري",حي النموذجية - الرياض
681,  شارع التخصصي حي العليا  ,190000,236,"# يقع المعرض على شارع التخصصي في موقع استراتيجي باتجاه الشمال حيث يزيد النشاط التجاري بصورة كبيرة .
# مجهز بديكورات راقية .
# يتوفر قبو كامل يتضمن مواقف عديدة أكثر من ٥٠ موقف ومواقف امامية .
# تتوفر جميع الخدمات في الموقع .

الموقع :
حي المعذر الشمال...",حي العليا - الرياض
684,  شارع الاعتدال حي القيروان  ,80000,88,"✅ للايجار معرض بطريق الملك سلمان . 
🛑 الموقع :
حي القيروان ، طريق الملك سلمان . مع شارع الاعتدال (تجاري بعرض 30 م) .
🛑 المكونات :
- معرض ميزانين واوفيس ودورة مياه .
🛑 المساحة : 88 م٢
🛑 أبرز مميزات العمارة : 
- تقع على طريق الملك سلمان أحد أهم الش...",حي القيروان - الرياض
685,    حي المهدية  ,100000,8,"للايجار محل صراف في محطه 
محطة راكين المهديه للوقود
حي المهديه 
شارع السيل الكبير 
موقع مميز 
السعر 100 ألف ريال",حي المهدية - الرياض
686,  7538 4269 طريق الملك فهد الفرعي حي الملقا  ,589000,650,"للايجار صالة ميزانين
الموقع حي الملقا طريق ألملك فهد
مساحة الصالة ٦٢٠م
سعر الايجار للمتر ٩٥٠ ريال للمتر
سعر الايجار ٥٨٩ الف
قابل للتفارض",حي الملقا - الرياض
689,  حي طويق  ,15000,32,"محل للإيجار 
ديكور راكب 
باب زجاج راكب 
لوحة موجودة 

للتواصل والاستفسار / 
0556028511
0542808822 
0555215547

في حاله عدم الرد الرجاء التواصل واتس اب",حي طويق - الرياض
690,  شارع عبدالله بن عباس حي الروابي  ,13000,35,"محل تجاري نظيف على شارع مميز ابن عباس الواجهة شرقية مع شارع بنغازي
المحلات المجاورة له مؤجرة بالكامل 
المواقف متوفرة و واسعة وبجواره محلات راقية 
المحل مبلط بالكامل والانارة جاهزة 
والسقف مجهز 
ويوجد لوحة جاهزة 
موصل بخدمات كاملة وعداد كهرباء",حي الروابي - الرياض
691,  حي المونسية  ,75000,150,"اولا المساحة١٥٠ متر مربع ميزان
مساحة المبنى ٥٠٠ ارضي و٣٠٠ ميزان
الموقع شمال شرق الرياض
شارع الحسن بن حسين بن علي
شارع ستين وشارع الصباح عرض ٣٠
المنطقة ذات كثافة سكانية حيث احياء المونسية وقرطبة وجوهرة قرطبة
ويعتبر شارعها الرئيسي من الشوارع التجارية ا...",حي المونسية - الرياض
692,  شارع الإمام أحمد بن حنبل حي الريان  ,20000,44,"للايجار فتحة على شارع عبدالرحمن بن سعدي حي الريان المتفرع من طريق احمد بن حنبل 
مع امكانية تاجير ٣ محلات متجاورة اوفتحة واحدة على حدة
للمعاينة ولمزيد من التفاصيل الاتصال اوارسال رسالة واتس اب في حال عدم الرد لنتصل بك في اسرع وقت 

 0550625411
0554872...",حي الريان - الرياض
694,"  شارع ريحانه بنت زيد, العارض,  ",20000,48,"محل للإيجار  في حي الامانه شارع ٨٠م
بين طريق الملك عبدالعزيز وطريق القصيم 

١٢*٤ = 48مجاهزه

٢٠ الف

للمفاهمة جوال رقم ‬

0550696924",حي العارض - الرياض
695,  طريق عثمان بن عفان حي النرجس  ,80000,192,"معرض للايحار بحي النرجس على طريق عثمان بن عفان شمال انس بن مالك موقع مميز .مساحه المعرض ١٩٢م 
سعر الاجار السنوي ٨٠٠٠٠ ريال .

لدى شركة طموح العقارية
920010529
0503309938",حي النرجس - الرياض
697,  طريق الامير محمد بن عبدالعزيز الفرعي حي العليا  ,1200000,1650,مبني تجاري عباره عن معرض اربع ادوار مفتوحه على بعض فيها مصعدين وسطح مجهز بالكامل ومطبخ مركزي وتكييف وسكن ومكاتب موظفين يصلح للمطاعم الكبيره مجموع المسطحات مايقارب اربعة الاف متر الصياد سابقا,حي العليا - الرياض
698,  شارع المدينة المنورة حي العريجاء الغربية  ,200000,540,"تم تأجير جميع المعارض لم يتبقى سوى م واحد

معارض للإيجار 

موقع مميز على طريق المدينة والدائري الغربي بجانب ساكو بالقرب من منطقة تجارية مركزية ومحطة مترو السويدي الغربي الرئيسية.

معارض ميزان،
الموقع يتناسب مع عدة أنشطة:
عيادات طبية -كافيهات-ألعاب أط...",حي العريجاء الغربية - الرياض
700,  شارع سليمان بن عبدالملك بن مروان حي طويق  ,1180000,300,"يسعدنا ان نقدم لكم عرضآ مميزآ .فيلا فاخره..  دوبلكس 

الحي سحاب الموسي الجديد
الوجهه  جنوبيه
الشارع      20 متر
مساحة      300     متر
بسعر مليون 180 الف ريال
تشطيب شخصي
كما يوجد عروض مختلفة بجميع المساحات والاسعار المختلفة 
جميع العروض الخاصة بشركتن...",حي طويق - الرياض
703,  شارع الشفا حي ظهرة لبن  ,320000,750,"عدد ٤ معارض ميزان للايجار بالكامل 
مجموع المساحة الكلية ٧٥٠ متر مربع 
بالاضافة الي ارتداد خلفي ١٩ عرض * ٦ عمق 
قيمة الايجار السنوي ٣٢٠٠٠ 
غير شامل ضريبة الدولة
عقد طويل الاجل 
انظر الي الصور",حي ظهرة لبن - الرياض
714,  شارع الفانوس حي الفيحاء  ,8000,32,"شهرين مجاناً للسنة الاولى
يوجد رسوم للماء في حالة الرغبة باستخدام الحمام
٣٠٠ ريال رسوم عقد
٥٠٠ ريال تأمين
للتواصل ٠٥٩٨١٥٩١١٤",حي الفيحاء - الرياض
716,  شارع الامير سعود بن عبدالعزيز ال سعود الكبير حي القدس  ,15000,40,"يوجد لدينا محلين للايجار جنب بعض

حي القدس شارع الامير سعود الكبير

مساحة كل محل ٤٠م

الايجار السنوي ١٥ الف",حي القدس - الرياض
724,  شارع حفصة بنت عمر حي النهضة  ,150000,200,"موقع بنزين طرنبات 95-91 مع الخزانات الموقع للايجار
ويوجد ايضا 


موقع سوبر ماركت داخل محطه بنزين المساحة 190م
التواصل من الساعه 4 مساءا حتى الساعه 10 مساءا او على الوات سب",حي النهضة - الرياض
726,  شارع الترمذي حي بدر  ,60000,120,"محلات ميزانين للايجار 
سعر الفتحه 60 الف ريال 
للتواصل : مكتب عبدالوهاب السلوم للعقارات 
0505443212
0114204444",حي بدر - الرياض
729,  شارع الشيخ حسن بن حسين بن علي حي اشبيلية  ,60000,75,"للإيجار :
عدد 6 معارض
بموقع ممتاز وحيوي بحي اشبيليا
على (طريق الحسن بن حسين) 
وبالقرب من (طريق الملك عبدالله)

المساحة لكل معرض : 75م 
الأطوال : 4م* 19م

✅- جميع المعارض مشطبة.
✅ - بجانب محطة الميترو.
✅ -السعر قابل للتفاوض في حال التأجير لكامل المعار...",حي اشبيلية - الرياض
733,  طريق الإمام عبدالله بن سعود بن عبدالعزيز حي اليرموك  ,45000,45,أربع معارض تجاريه متجاوره مساحة كل معرض ٤٥ م تقريبي وسعر كل معرض ٤٥ ألف قابل للتفاوض حسب النشاط والاسم,حي اليرموك - الرياض
734,  طريق البحر الأحمر حي النفل  ,100000,100,محلين مع بعض مساحتها تقريباً 100 متر,حي النفل - الرياض
735,  طريق سعيد ابن زيد حي قرطبة  ,120000,180,"متوفر محلات عدد ٤ فتحات واجهة عرض ٢٦م وعمق ٨م تصلح لكافة الانشطة 
وسعر خاص لكبري الشركات ومتوفر الكهرباء والمواقف   للتواصل 0506462953 ابو فهد",حي قرطبة - الرياض
738,  طريق الخرج الفرعي حي النور  ,140000,700,عدد ٣ معارض علي طريق الدائري الشرقي.   طريق الخرج. مخرج ١٨ حي النور. مبني جديد وممتاز وواجهات زحاج وكلادينج واجهة كل معرض ٢٠ م عرض اجمالي واجهة المعارض بعرض ٦٠م علي طريق الخرج مباشرة ومتوفر مواقف امامية ومتوفر مدخل خلفي علي شارع خلفي ٢٠م  ومتوفر كهرب...,حي النور - الرياض
739,  طريق الملك عبدالعزيز حي الملك عبدالعزيز  ,100000,400,معرض ميزانين غير مرخص داخل الحي,حي السليمانية - الرياض
740,  شارع السيل الكبير حي الغدير  ,30000,40,"محل للايجار بحي الغدير شارع السيل الكبير  بجوار جامع عبدالله ابن مسعود 
الاطوال 4×10",حي الغدير - الرياض
741,    حي ظهرة لبن  ,120000,400,معرض تجاري للايجار بحي لبن,حي ظهرة لبن - الرياض
742,  شارع السيل الكبير حي الغدير  ,25000,30,"محل للايجار بحي الغدير شارع السيل الكبير 
شارع حيوي",حي الغدير - الرياض
745,  شارع الأمين عبدالله العلي النعيم حي الملز  ,25000,38,"محلات تجارية بموقع مميز جدا تحديدا أمام استاد الأمير فيصل وبالقرب لمنتزة الملك عبدالله الترفيهي ، جاري عمل محطة مترو أمامها مباشرة تبدأ المساحات من 35 متر الى 350 متر ، تم تجهيزها بالكامل بعد فتح الطريق لمحطة المترو.

المميزات :
موقع حيوي واستثماري
إ...",حي الملز - الرياض
748,  طريق الأمير سلطان بن عبدالعزيز حي العليا  ,220000,300,معرض تجاري للايجار فتحتين والمساحه الخلفية لكامل العماره . المعرض مجهز بالديكور من ارضيات رخام واسقف جبسيه ودكات التكيف المركزي والاضاءات السبوت لايت . موقع مميز جدا شارع الثلاثين بالعليا الامير سلطان . الشارع معروف بنشاط محلات الشوكلت والحلويات والك...,حي العليا - الرياض
750,  شارع ابي الاسود الدؤلي حي النسيم الشرقي  ,23000,35,"محل ثلاث فتحات عداد لحاله كل فتحه بعداد 

للتواصل : 
0508043181
0556844248",حي النسيم الشرقي - الرياض
752,  شارع ينبع حي ظهرة لبن  ,30000,60,"معارض للإيجار في حي ظهرة لبن بالرياض 
تقاطع شارع ينبع مع شارع حائل 
عدد 11 معرض 
مجمع بنده 
بسعر الإيجار  30 ألف للمعرض الواحد 

ابومحمد 0541715858 

ملاحظة / جميع المحلات جاهز وعدد 3 منها مفتوحة على بعض ..",حي ظهرة لبن - الرياض
754,  طريق نجم الدين الأيوبي الفرعي حي ظهرة نمار  ,30000,110,معارض للايجار ، مساحة المعرض 110 ، سعر التأجير 30 الف للمعرض قابل للتفاوض .,حي ظهرة نمار - الرياض
755,  طريق الإمام عبدالله بن سعود بن عبدالعزيز حي اليرموك  ,45000,45,معرضين متجاوره تنفع لنشاطات متعدده الموقع على طريق الامام عبدالله بن سعود بن عبدالعزيز يتميز باكتمال الخدمات ومجاور لمصرف الانماء وفي الجهه المقابله لنادي وقت اللياقه المعرض الواحد بقيمة ٤٥ الف المعرضين بقيمة ٩٠ الف,حي اليرموك - الرياض
758,  طريق ديراب الفرعي حي المروة  ,80000,150,صالة على طريق ديراب بالشفا كانت مستاجرة من بنك الراجحي فرع ( صلة تمويل ومرابحة ) مدة سبع سنوات تقريبا الايجار ثمانين الف دفعتين . بها مكيفات راكبة وديكور نظيف بعد البنك .,حي المروة - الرياض
763,  حي الرمال  ,450000,650,"اربع ورش للايجار مع بعضهم كل ورشه مساحتها 650 راس بلكه تتميز بقربها من مركز التقديرات و من قربها من مركز المزاد و من سهولة الوصول لها .
كما تتوفر لدينا عدت اراضي للبيع و للايجار في الصناعيه",حي الرمال - الرياض
764,  شارع محمد بن عبدالعزيز الدغيثر حي الصحافة  ,24000,40,"محل للايجار بالصحافة مربع ٢ .. 
شارع محمد الدغيثر .. قريب للعليا ،، قريب لبلدية الشمال ،، منطقة حيوية .. توفر كل الخدمات ..",حي الصحافة - الرياض
768,  شارع الملعب حي ظهرة لبن  ,1000,500,"للايجار معارض ومكاتب مساحات مختلفة 
للتواصل والاستفسار :
0500900847
0500900827",حي ظهرة لبن - الرياض
770,  طريق الإمام عبدالله بن سعود بن عبدالعزيز حي اليرموك  ,203000,203,"🔳  صالات ومعارض للايجار   🔳 

موقع مميز  __ طريق الامام عبدالله بن سعود 

تم تاجير المبنى على مجموعة بريرا الفندقية 

العدد / ١٢ معرض 

تم تأجير عدد ٨ معارض على أسواق الثلاجة العالمية 
والمتبقي عدد ٤ معارض 

المساحات 
لكل معرض 

 5.5 في عمق 37 = 20...",حي اليرموك - الرياض
771,"  طريق الملك عبدالعزيز, الغدير,  ",400000,400,"معرض في عمارة بحي الغدير على طريق الملك عبدالعزيز 
في عمارة تجارية مكاتب ومعارض تفتح شرق قبو 175 سيارة

الاطوال/    7 م
في عمق / 40 م
الميزانين   / 120 م 
المساحة اجمالاً / 400 متر 

(النشاط السابق)
    😋👇😋
☕️🍨🍪🍰)

السعر 1000 ريال للمتر 

05417...",حي النفل - الرياض
773,  حي ظهرة لبن  ,90000,230,"اذا كنت تبحث على الفرص الذهبية النادرة هنا ستجد كل ما تلبي احتياجك لتنمية استثمارك بإيراد وعوائد سنوية فوري مضمونة بعد الله سبحانه.

5 فتحات مشطبة ومرخصة من قبل البلدية باعتباره استثماري ناجح باذن الله كونه يقع على شارع حيوي والمنطقة المجاورة مليئة ب...",حي ظهرة لبن - الرياض
776,  طريق الامام سعود بن عبدالعزيز بن محمد الفرعي حي الازدهار  ,85000,76,"معرض للايجار علي طريق الإمام سعود مخرج ٩
العرض 7.2متر في عمق 10.5متر",حي الازدهار - الرياض
779,  شارع هارون الرشيد الفرعي حي السلي  ,15000,35,"محل 
شارع هارون الرشيد
٣.٥ متر العرض في عمق ١٠ متر",حي السلي - الرياض
780,  شارع فتح مكة حي بدر  ,24000,50,يوجد سكن للعمال بنفس العماره,حي بدر - الرياض
781,  طريق الامام مالك حي بدر  ,15000,48,"للايجار فتحتين ، مجهزه ديكوراته كمحل شوكلاته . 
السعر للفتحه الواحده 15 الف . 
للتواصل مكتب عبدالوهاب السلوم للعقارات 
0505443212
0114204444",حي بدر - الرياض
784,  شارع بديع الزمان الهمذاني حي الزهرة  ,8000,24,"محل للايجار في بديع الزمان ..
المساحة 24م ، الاجار 8000 سنويًا ..

للتواصل /
0508249524
0500141485",حي الزهرة - الرياض
785,  شارع خالد بن احمد السديري حي الخليج  ,10000,27,"محلات للإيجار بحي الخليج شارع خالد بن أحمد السديري
٣محلات مساحة كل محل ٣*٩
محل ٣*٥
الإيجار ١٠ الف ريال لكل محل",حي الخليج - الرياض
788,  شارع الأمير مساعد بن عبدالعزيز حي السليمانية  ,70000,80,"المعارض  الامامية رقم 1 و17 ايجار المعرض الواحد 150 الف 
المعارض الخلفية الزوية رقم 8 ورقم 13 ايجار المعرض الواحد 100 الف 
المعارض المتبقية ايجار المعرض 70 الف",حي السليمانية - الرياض
791,  شارع العليا حي الملك فهد  ,90000,72,محلات للايجار طريق العليا العام جوار بنك ساب ولبنان للديكور مقابل وزاره الشؤون البلدية والقروية محلين منفصلين ميزان مواقف مقابل المحلات السعر ٩٠ الف المحل الواحد قابل للتفاوض شارع العليا العام,حي الملك فهد - الرياض
792,  شارع الامام عبدالعزيز بن محمد بن سعود حي ام سليم  ,65000,106,,حي ام سليم - الرياض
793,  شارع عائشة بنت أبي بكر حي الزهرة  ,40000,28,محلات للايجار فاتحتين عل  شارع عايشه بنت ابي بكر بحي السويدي,حي الزهرة - الرياض
795,  شارع مانع المريدي حي عرقة  ,128700,117,"معارض ومكاتب بمساحات مختلفة 
المعارض من ١١٧ متر إلى ١٥٣ متر 
المكاتب من ٨٥ متر إلى ٤٧١ متر
للتواصل مع إدارة الاملاك  : 
0500900827
0500900847
0500900527
0500900423",حي عرقة - الرياض
800,  شارع البلقاء حي الرمال  ,40000,60,"بوفيه للتقبيل
40000

مدفوع إيجار 6اشهر

للمفاهمه والإستفسار

0533668817 ابو راكان

0533888911 ابو احمد",حي الرمال - الرياض
803,  شارع ابي بكر الرازي حي السليمانية  ,60000,50,,حي السليمانية - الرياض
804,    حي السعادة  ,7000,650,"السلام عليكم ورحمه الله وبركاته 
للايجار موقع ورشه قديم ومعروف بالسوق وموقعها مميز وعلى شارع حيوي داخل صناعيه النسيم وعلى اربع شوارع وسيعه ومتوفره المواقف 

الورشه عباره عن بايكتين المساحه الاجماليه للموقع 650 م 

التواصل مع المالك مباشره على الرقم /...",حي السعادة - الرياض
806,  شارع محمد القصيبي حي الملك فيصل  ,80000,100,"يوجد لدينا ٤ محلات للايجار تجارية 

حي الملك فيصل شارع محمد القصيبي

المساحة الاجمالية للمحلات ١٠٠م 

الايجار ٨٠ الف",حي الملك فيصل - الرياض
809,  شارع الحويطة حي هجرة لبن  ,12000,25,محل للإيجار مساحته ٢٥م تقريباً ملحق به دوره مياه مع سخان عرض الشارع ٣٠ م,حي لبن - الرياض
810,  شارع السلامه حي النرجس  ,220000,1050,"االايجار   ٧ محلات ٣٣٧م مساحه اجماليه 
مساحه كل محل   ٤م×١١م=٤٤م
حوش في الخلف  ٧٤٢ تقريبآ",حي النرجس - الرياض
811,  حي ظهرة لبن  ,120000,450,"معرض للايجار في حي لبن المساحة 450 م
يوجد حوش مسور بالخلف مساحة 400 م 
السعر :120000",حي ظهرة لبن - الرياض
